month_day,year,domestic,month_total_crimes
01-01,2018,False,676
01-01,2018,True,219
01-01,2019,False,795
01-01,2019,True,215
01-01,2020,False,596
01-01,2020,True,191
01-02,2018,False,474
01-02,2018,True,85
01-02,2019,False,544
01-02,2019,True,106
01-02,2020,False,540
01-02,2020,True,85
01-03,2018,False,504
01-03,2018,True,70
01-03,2019,False,628
01-03,2019,True,122
01-03,2020,False,566
01-03,2020,True,115
01-04,2018,False,503
01-04,2018,True,98
01-04,2019,False,659
01-04,2019,True,106
01-04,2020,False,501
01-04,2020,True,125
01-05,2018,False,557
01-05,2018,True,106
01-05,2019,False,634
01-05,2019,True,156
01-05,2020,False,478
01-05,2020,True,137
01-06,2018,False,465
01-06,2018,True,120
01-06,2019,False,540
01-06,2019,True,123
01-06,2020,False,582
01-06,2020,True,106
01-07,2018,False,403
01-07,2018,True,130
01-07,2019,False,576
01-07,2019,True,98
01-07,2020,False,533
01-07,2020,True,81
01-08,2018,False,527
01-08,2018,True,91
01-08,2019,False,604
01-08,2019,True,96
01-08,2020,False,531
01-08,2020,True,111
01-09,2018,False,558
01-09,2018,True,94
01-09,2019,False,532
01-09,2019,True,97
01-09,2020,False,528
01-09,2020,True,91
01-10,2018,False,604
01-10,2018,True,113
01-10,2019,False,586
01-10,2019,True,98
01-10,2020,False,519
01-10,2020,True,95
01-11,2018,False,611
01-11,2018,True,89
01-11,2019,False,688
01-11,2019,True,96
01-11,2020,False,456
01-11,2020,True,100
01-12,2018,False,602
01-12,2018,True,104
01-12,2019,False,552
01-12,2019,True,117
01-12,2020,False,450
01-12,2020,True,124
01-13,2018,False,513
01-13,2018,True,104
01-13,2019,False,449
01-13,2019,True,123
01-13,2020,False,534
01-13,2020,True,109
01-14,2018,False,440
01-14,2018,True,124
01-14,2019,False,537
01-14,2019,True,98
01-14,2020,False,566
01-14,2020,True,87
01-15,2018,False,439
01-15,2018,True,90
01-15,2019,False,581
01-15,2019,True,114
01-15,2020,False,526
01-15,2020,True,106
01-16,2018,False,522
01-16,2018,True,92
01-16,2019,False,606
01-16,2019,True,93
01-16,2020,False,567
01-16,2020,True,98
01-17,2018,False,541
01-17,2018,True,107
01-17,2019,False,536
01-17,2019,True,115
01-17,2020,False,511
01-17,2020,True,67
01-18,2018,False,544
01-18,2018,True,82
01-18,2019,False,568
01-18,2019,True,98
01-18,2020,False,456
01-18,2020,True,104
01-19,2018,False,626
01-19,2018,True,82
01-19,2019,False,421
01-19,2019,True,97
01-19,2020,False,390
01-19,2020,True,110
01-20,2018,False,604
01-20,2018,True,125
01-20,2019,False,390
01-20,2019,True,103
01-20,2020,False,498
01-20,2020,True,109
01-21,2018,False,593
01-21,2018,True,124
01-21,2019,False,468
01-21,2019,True,87
01-21,2020,False,493
01-21,2020,True,87
01-22,2018,False,615
01-22,2018,True,109
01-22,2019,False,510
01-22,2019,True,113
01-22,2020,False,523
01-22,2020,True,103
01-23,2018,False,616
01-23,2018,True,102
01-23,2019,False,579
01-23,2019,True,81
01-23,2020,False,491
01-23,2020,True,89
01-24,2018,False,527
01-24,2018,True,86
01-24,2019,False,492
01-24,2019,True,113
01-24,2020,False,549
01-24,2020,True,99
01-25,2018,False,554
01-25,2018,True,87
01-25,2019,False,489
01-25,2019,True,95
01-25,2020,False,542
01-25,2020,True,113
01-26,2018,False,642
01-26,2018,True,120
01-26,2019,False,424
01-26,2019,True,106
01-26,2020,False,499
01-26,2020,True,105
01-27,2018,False,631
01-27,2018,True,123
01-27,2019,False,420
01-27,2019,True,102
01-27,2020,False,584
01-27,2020,True,101
01-28,2018,False,537
01-28,2018,True,134
01-28,2019,False,415
01-28,2019,True,106
01-28,2020,False,582
01-28,2020,True,97
01-29,2018,False,563
01-29,2018,True,89
01-29,2019,False,414
01-29,2019,True,78
01-29,2020,False,528
01-29,2020,True,85
01-30,2018,False,559
01-30,2018,True,76
01-30,2019,False,253
01-30,2019,True,88
01-30,2020,False,519
01-30,2020,True,88
01-31,2018,False,612
01-31,2018,True,96
01-31,2019,False,361
01-31,2019,True,97
01-31,2020,False,592
01-31,2020,True,95
02-01,2018,False,618
02-01,2018,True,111
02-01,2019,False,639
02-01,2019,True,109
02-01,2020,False,628
02-01,2020,True,120
02-02,2018,False,569
02-02,2018,True,103
02-02,2019,False,615
02-02,2019,True,106
02-02,2020,False,495
02-02,2020,True,155
02-03,2018,False,526
02-03,2018,True,101
02-03,2019,False,472
02-03,2019,True,120
02-03,2020,False,629
02-03,2020,True,97
02-04,2018,False,402
02-04,2018,True,110
02-04,2019,False,611
02-04,2019,True,121
02-04,2020,False,533
02-04,2020,True,97
02-05,2018,False,458
02-05,2018,True,82
02-05,2019,False,546
02-05,2019,True,105
02-05,2020,False,534
02-05,2020,True,84
02-06,2018,False,495
02-06,2018,True,93
02-06,2019,False,528
02-06,2019,True,107
02-06,2020,False,441
02-06,2020,True,102
02-07,2018,False,454
02-07,2018,True,88
02-07,2019,False,567
02-07,2019,True,103
02-07,2020,False,581
02-07,2020,True,99
02-08,2018,False,461
02-08,2018,True,95
02-08,2019,False,556
02-08,2019,True,86
02-08,2020,False,510
02-08,2020,True,109
02-09,2018,False,410
02-09,2018,True,95
02-09,2019,False,627
02-09,2019,True,128
02-09,2020,False,436
02-09,2020,True,117
02-10,2018,False,435
02-10,2018,True,99
02-10,2019,False,527
02-10,2019,True,111
02-10,2020,False,513
02-10,2020,True,101
02-11,2018,False,433
02-11,2018,True,104
02-11,2019,False,531
02-11,2019,True,92
02-11,2020,False,509
02-11,2020,True,106
02-12,2018,False,488
02-12,2018,True,84
02-12,2019,False,567
02-12,2019,True,97
02-12,2020,False,529
02-12,2020,True,90
02-13,2018,False,539
02-13,2018,True,103
02-13,2019,False,531
02-13,2019,True,111
02-13,2020,False,455
02-13,2020,True,87
02-14,2018,False,547
02-14,2018,True,113
02-14,2019,False,608
02-14,2019,True,133
02-14,2020,False,478
02-14,2020,True,101
02-15,2018,False,573
02-15,2018,True,125
02-15,2019,False,616
02-15,2019,True,121
02-15,2020,False,470
02-15,2020,True,118
02-16,2018,False,569
02-16,2018,True,94
02-16,2019,False,551
02-16,2019,True,125
02-16,2020,False,493
02-16,2020,True,121
02-17,2018,False,492
02-17,2018,True,111
02-17,2019,False,486
02-17,2019,True,131
02-17,2020,False,462
02-17,2020,True,130
02-18,2018,False,470
02-18,2018,True,116
02-18,2019,False,473
02-18,2019,True,116
02-18,2020,False,538
02-18,2020,True,114
02-19,2018,False,517
02-19,2018,True,108
02-19,2019,False,503
02-19,2019,True,103
02-19,2020,False,488
02-19,2020,True,85
02-20,2018,False,545
02-20,2018,True,98
02-20,2019,False,534
02-20,2019,True,96
02-20,2020,False,501
02-20,2020,True,80
02-21,2018,False,548
02-21,2018,True,91
02-21,2019,False,591
02-21,2019,True,105
02-21,2020,False,548
02-21,2020,True,97
02-22,2018,False,563
02-22,2018,True,115
02-22,2019,False,591
02-22,2019,True,117
02-22,2020,False,558
02-22,2020,True,117
02-23,2018,False,576
02-23,2018,True,95
02-23,2019,False,544
02-23,2019,True,101
02-23,2020,False,542
02-23,2020,True,109
02-24,2018,False,551
02-24,2018,True,130
02-24,2019,False,444
02-24,2019,True,102
02-24,2020,False,499
02-24,2020,True,86
02-25,2018,False,520
02-25,2018,True,135
02-25,2019,False,504
02-25,2019,True,91
02-25,2020,False,415
02-25,2020,True,89
02-26,2018,False,537
02-26,2018,True,88
02-26,2019,False,513
02-26,2019,True,93
02-26,2020,False,484
02-26,2020,True,106
02-27,2018,False,592
02-27,2018,True,99
02-27,2019,False,558
02-27,2019,True,89
02-27,2020,False,478
02-27,2020,True,80
02-28,2018,False,545
02-28,2018,True,101
02-28,2019,False,489
02-28,2019,True,102
02-28,2020,False,551
02-28,2020,True,92
02-29,2020,False,470
02-29,2020,True,105
03-01,2018,False,676
03-01,2018,True,144
03-01,2019,False,623
03-01,2019,True,117
03-01,2020,False,525
03-01,2020,True,131
03-02,2018,False,588
03-02,2018,True,103
03-02,2019,False,544
03-02,2019,True,117
03-02,2020,False,481
03-02,2020,True,107
03-03,2018,False,532
03-03,2018,True,132
03-03,2019,False,438
03-03,2019,True,113
03-03,2020,False,498
03-03,2020,True,113
03-04,2018,False,520
03-04,2018,True,128
03-04,2019,False,436
03-04,2019,True,107
03-04,2020,False,506
03-04,2020,True,110
03-05,2018,False,553
03-05,2018,True,111
03-05,2019,False,443
03-05,2019,True,96
03-05,2020,False,476
03-05,2020,True,95
03-06,2018,False,544
03-06,2018,True,108
03-06,2019,False,527
03-06,2019,True,99
03-06,2020,False,576
03-06,2020,True,115
03-07,2018,False,565
03-07,2018,True,91
03-07,2019,False,515
03-07,2019,True,90
03-07,2020,False,457
03-07,2020,True,117
03-08,2018,False,564
03-08,2018,True,96
03-08,2019,False,608
03-08,2019,True,104
03-08,2020,False,533
03-08,2020,True,98
03-09,2018,False,642
03-09,2018,True,101
03-09,2019,False,486
03-09,2019,True,130
03-09,2020,False,445
03-09,2020,True,113
03-10,2018,False,547
03-10,2018,True,136
03-10,2019,False,476
03-10,2019,True,134
03-10,2020,False,463
03-10,2020,True,83
03-11,2018,False,474
03-11,2018,True,144
03-11,2019,False,590
03-11,2019,True,108
03-11,2020,False,477
03-11,2020,True,102
03-12,2018,False,561
03-12,2018,True,100
03-12,2019,False,542
03-12,2019,True,83
03-12,2020,False,501
03-12,2020,True,111
03-13,2018,False,536
03-13,2018,True,102
03-13,2019,False,579
03-13,2019,True,109
03-13,2020,False,543
03-13,2020,True,107
03-14,2018,False,560
03-14,2018,True,104
03-14,2019,False,571
03-14,2019,True,103
03-14,2020,False,480
03-14,2020,True,121
03-15,2018,False,583
03-15,2018,True,108
03-15,2019,False,620
03-15,2019,True,115
03-15,2020,False,432
03-15,2020,True,122
03-16,2018,False,594
03-16,2018,True,108
03-16,2019,False,616
03-16,2019,True,149
03-16,2020,False,402
03-16,2020,True,100
03-17,2018,False,634
03-17,2018,True,143
03-17,2019,False,487
03-17,2019,True,123
03-17,2020,False,456
03-17,2020,True,96
03-18,2018,False,537
03-18,2018,True,150
03-18,2019,False,532
03-18,2019,True,118
03-18,2020,False,401
03-18,2020,True,111
03-19,2018,False,566
03-19,2018,True,93
03-19,2019,False,530
03-19,2019,True,107
03-19,2020,False,361
03-19,2020,True,100
03-20,2018,False,589
03-20,2018,True,122
03-20,2019,False,584
03-20,2019,True,105
03-20,2020,False,366
03-20,2020,True,104
03-21,2018,False,574
03-21,2018,True,114
03-21,2019,False,578
03-21,2019,True,110
03-21,2020,False,315
03-21,2020,True,112
03-22,2018,False,591
03-22,2018,True,79
03-22,2019,False,602
03-22,2019,True,104
03-22,2020,False,245
03-22,2020,True,118
03-23,2018,False,654
03-23,2018,True,98
03-23,2019,False,562
03-23,2019,True,128
03-23,2020,False,294
03-23,2020,True,88
03-24,2018,False,527
03-24,2018,True,121
03-24,2019,False,522
03-24,2019,True,126
03-24,2020,False,292
03-24,2020,True,113
03-25,2018,False,544
03-25,2018,True,132
03-25,2019,False,526
03-25,2019,True,112
03-25,2020,False,323
03-25,2020,True,92
03-26,2018,False,577
03-26,2018,True,118
03-26,2019,False,572
03-26,2019,True,100
03-26,2020,False,325
03-26,2020,True,87
03-27,2018,False,557
03-27,2018,True,116
03-27,2019,False,585
03-27,2019,True,109
03-27,2020,False,306
03-27,2020,True,94
03-28,2018,False,576
03-28,2018,True,113
03-28,2019,False,559
03-28,2019,True,123
03-28,2020,False,339
03-28,2020,True,115
03-29,2018,False,530
03-29,2018,True,99
03-29,2019,False,568
03-29,2019,True,105
03-29,2020,False,363
03-29,2020,True,121
03-30,2018,False,595
03-30,2018,True,109
03-30,2019,False,543
03-30,2019,True,121
03-30,2020,False,344
03-30,2020,True,78
03-31,2018,False,568
03-31,2018,True,123
03-31,2019,False,494
03-31,2019,True,140
03-31,2020,False,275
03-31,2020,True,90
04-01,2018,False,563
04-01,2018,True,160
04-01,2019,False,635
04-01,2019,True,137
04-01,2020,False,321
04-01,2020,True,88
04-02,2018,False,566
04-02,2018,True,108
04-02,2019,False,567
04-02,2019,True,87
04-02,2020,False,275
04-02,2020,True,81
04-03,2018,False,506
04-03,2018,True,99
04-03,2019,False,578
04-03,2019,True,103
04-03,2020,False,363
04-03,2020,True,108
04-04,2018,False,601
04-04,2018,True,96
04-04,2019,False,547
04-04,2019,True,113
04-04,2020,False,312
04-04,2020,True,95
04-05,2018,False,563
04-05,2018,True,107
04-05,2019,False,596
04-05,2019,True,106
04-05,2020,False,288
04-05,2020,True,100
04-06,2018,False,584
04-06,2018,True,111
04-06,2019,False,596
04-06,2019,True,145
04-06,2020,False,331
04-06,2020,True,86
04-07,2018,False,510
04-07,2018,True,125
04-07,2019,False,570
04-07,2019,True,133
04-07,2020,False,336
04-07,2020,True,90
04-08,2018,False,489
04-08,2018,True,127
04-08,2019,False,605
04-08,2019,True,138
04-08,2020,False,300
04-08,2020,True,108
04-09,2018,False,561
04-09,2018,True,100
04-09,2019,False,583
04-09,2019,True,109
04-09,2020,False,308
04-09,2020,True,88
04-10,2018,False,6
04-10,2019,False,4
04-10,2019,True,3
